track_name,artist_name,year,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,gender,ethnicity
Where the Party At (feat. Nelly),Jagged Edge,2001,129,F,Minor,59,86,66,31,0,8,22,Group,Black (American)
"Independent Women, Pt. 1",Destiny's Child,2001,97,F#,Minor,73,92,60,36,0,16,20,Group,Black (American)
This I Promise You,*NSYNC,2001,165,D,Major,55,46,58,35,0,12,3,Group,Multiracial (American)
Little L,Jamiroquai,2001,121,A#,Minor,87,90,72,16,1,13,12,Group,Multiracial (British)
Put It On Me,Ja Rule,2001,93,C#,Minor,83,79,79,0,0,5,16,Male,Black (American)
If You're Gone,Matchbox Twenty,2001,109,A,Major,54,36,65,42,0,12,2,Group,White (American)
Whole Again,Atomic Kitten,2001,94,E,Major,74,56,70,8,0,17,4,Group,White (British)
Peaches & Cream,112,2001,203,E,Minor,67,76,52,0,0,5,33,Group,Black (American)
Touch Me (Radio Edit) [feat. Cassandra],Rui Da Silva,2001,129,C,Major,46,69,92,12,22,5,6,Male,White (Portuguese)
All For You,Janet Jackson,2001,113,D,Major,75,73,93,1,6,12,7,Female,Black (American)
Bootylicious,Destiny's Child,2001,103,C#,Minor,84,63,83,0,0,15,27,Group,Black (American)
Jaded,Aerosmith,2001,117,A,Major,51,67,86,0,0,24,5,Group,White (American)
I'm a Thug,Trick Daddy,2001,139,B,Major,93,58,56,2,0,10,12,Male,Black (American)
Never Had A Dream Come True,S Club,2001,122,F,Major,63,43,53,50,0,9,2,Group,Multiracial (British)
Izzo (H.O.V.A.),JAY-Z,2001,84,C#,Minor,61,69,84,1,0,6,34,Male,Black (American)
It's Raining Men,Geri Halliwell,2001,136,F,Minor,63,60,92,6,0,31,4,Female,White (British)
Fill Me In,Craig David,2001,132,G#,Major,68,82,74,37,0,6,3,Male,Black (British)
Starlight - Radio Edit,The Supermen Lovers,2001,127,C,Major,73,78,67,0,1,38,3,Group,White (French)
Livin' It Up,Ja Rule,2001,106,F#,Major,87,60,77,5,0,4,30,Male,Black (American)
Don't Stop Movin',S Club,2001,117,G,Major,82,91,67,2,0,21,3,Group,Multiracial (British)
Turn Off The Light,Nelly Furtado,2001,180,D,Major,58,64,68,7,0,41,9,Female,Multiracial (Canadian)
Heard It All Before,Sunshine Anderson,2001,96,D#,Minor,69,67,92,6,0,9,21,Female,Black (American)
Missing You,Case,2001,86,C#,Minor,61,71,57,28,0,5,5,Male,Black (American)
If You Come Back,Blue,2001,78,A#,Major,58,70,70,8,0,4,3,Group,Multiracial (British)
